CASEID,A27COMMS,NOTES,A1CURFOR,CURRENT,FORMER,A2GENDER,A3AGEGP,A4CBIRTH,A5AETHN1,A5AETHN2,AMERIND,ASIAN,BLACK,HISPANIC,HAWAIIPI,WHITE,OTHER,A6QUALS1,A6QUALS2,A6QUALS3,A6QUALS4,NOFORMAL,DCDANCSC,DCPERFSC,BACHDEGR,ADDCDNCS,ADDCPERF,GRADUATE,FQOTHER,A7GENED,A8ABEGTR,A8BFENGA,A8CBGPCR,A8DFINC,A9OCED1,A9OCED2,A9OCED3,A9OCED4,A9OCED5,A9OCED6,A9OCED7,A9OCED8,ARTISDIR,CHOREOGR,CLBALLET,CLDANCER,CONTMODN,COMMDANC,DANTEACH,INDIGDAN,MUSTHCAB,TRADFOLK,OTHRDANC,OTHRART,A9BMIINC,A9CMISAT,C10PCCR,C10PCDT,C10PCAR,C10PCOW,C10PCUN,C10PCOT,C10T100,F10AEY1,F10AEY2,F10AEY3,F10AEY4,F10AEY5,F10AEY6,EYFTDANC,EYPTDANC,EYFTDNRL,EYPTDNRL,EYFTNOND,EYPTNOND,EYSTUDY,C11HRSAB,C11HRSCD,C11HRSEF,C11HRSGH,C11ABRC,C11CDRC,C11EFRC,C11GHRC,C12STPCR,C12SCRC,C13STOP1,C13STOP2,C13STOP3,C13STOP4,C13STOP5,C13OTHER,WSTOOOLD,WSFINANC,WSHEALTH,WSWKNOTA,WSNEWCRR,WSCNTREX,WSOTHER,WSDONTKN,WSFAMILY,WSNOTENJ,F10BFY1,F10BFY2,F10BFY3,F10BFY4,F10BFY5,F10BFY6,F10BFY7,FYFTDANC,FYPTDANC,FYFTDNRL,FYPTDNRL,FYFTNOND,FYPTNOND,FYSTUDY,F10CTML1,F10CTML2,F10CTML3,F10CTML4,F10CTML5,F10CTML6,TWMLFTDN,TWMLPTDN,TWMLFTDR,TWMLPTDR,TWMLFTND,TWMLPTND,TWMLSTDY,F10DNOW1,F10DNOW2,F10DNOW3,F10DNOW4,F10DNOW5,NWFTDANC,NWPTDANC,NWFTDNRL,NWPTDNRL,NWFTNOND,NWPTNOND,NWSTUDY,F11ACOCC,OCC1CODE,F11BHRSA,HPWRCOCA,F11CCOCC,OCC2CODE,F11DHRSC,HPWOCC,F11ECOCC,OCC3CODE,F11FHRSE,HPWRCOCE,DNCRLOC,ARTRLOC,HLTHRLOC,NONARLOC,PARNTOC,STUDNTOC,RETIRED,NUMOCCS,HRSOCCS,HPWALLOC,OCCAMC,OCCCMA,OCCAEC,OCCACZRO,F12AEXFN,F12ESRC,F12BFNCR,F12DSRC,F12CTMEL,F13STOP1,F13STOP2,F13STOP3,F13STOP4,F13STOP5,F13OTHER,DSTOOOLD,DSFINANC,DSHEALTH,DSWKNTAV,DSCNTREX,DSNEWCRR,DSOTHER,DSDNTKN,DSFAMILY,DSNOTENJ,A24UNAWR,A24NPREP,A24MRHLP,A24NOHLP,A24INTRG,A24FEAR,A24SKILL,A25AQL1,A25AQL2,A25AQL3,A25AQL4,A25AQL5,A25AQL6,A25AQL7,A25AQL8,A25AQL9,A25AQL10,A25OTHER,SKCOMMUN,SKCOMPET,SKCOOP,SKINITIV,SKLEADSH,SKPRESEN,SKSELFCF,SKSELFDC,SKSTAMIN,SKOTHER,A25BMIMP,C14ACHAL,C14BAW1,C14BAW2,AWALWAYS,AWEDUPGM,AWINJURY,AWBETDNE,AWOTHER,C14CAGE,C14AWRC,C14DACT,C14ACRC,C15CHAF1,C15CHAF2,C15CHAF3,C15CHAF4,C15CHAF5,C15CHAF6,C15CHAF7,C15CHAF8,C15OTHER,CDCHPHYS,CDCHLST,CDCHLINC,CDCHLFS,CDCHEMOT,CDCHDEC,CDCHEMPT,CDCHOTH,CDCHDK,C15BMSCH,C15BOTHR,C16AWMPF,C16BWWD1,C16BWWD2,C16BWWD3,C16BWWD4,C16BWWD5,C16BWWD6,C16BWWD7,CDWKCHOR,CDWKDOM,CDWKEDU,CDWKDRL,CDWKARL,CDWKNONA,CDWKTDNC,CDWKOTHR,CDWKDK,C17AFEDU,C17BFIN1,C17BFIN2,C17BFIN3,C17BFIN4,C17BFIN5,CDLOANS,CDSCHLS,CDCOUNN,CDYOU,CDFMFR,CDOTHER,CDDK,C18FINAS,C18EMPSP,C18ADINF,C18EDUTR,C19DNCCO,C19UNION,C19DORG,C19AORG,C19GOVB,C19FAMF,C21APROG,C21BDETS,C21CUSE1,F21APROG,C22PREPR,C20INCCH,C23COMMG,C23ARTDI,C23FLDNC,C23PTSP,C23FAMLY,C23FRNDS,C23OTHRK,C23OTHER,F14ACHAL,F14BAW1,F14BAW2,F14BAW3,FDAWALWY,FDAWEDU,FDAWINJY,FDAWBDNE,FDAWOTHR,F14CAGE,F14AWRC,F14DACT,F14ACRC,F15CHAF1,F15CHAF2,F15CHAF3,F15CHAF4,F15CHAF5,F15CHAF6,F15CHAF7,F15CHAF8,F15OTHER,FDCHPHYS,FDCHLST,FDCHLINC,FDCHLFS,FDCHEMOT,FDCHDEC,FDCHEMPT,FDCHOTHR,FDCHDK,F15BMSCH,F15BOTHR,F16AWMPF,F16BWAD1,F16BWAD2,F16BWAD3,F16BWAD4,F16BWAD5,F16BWAD6,F16BWAD7,FDWKCHOR,FDWKDOM,FDWKEDU,FDWKDRL,FDWKARL,FDWKNONA,FDWKTDNC,FDWKOTHR,FDWKDK,F17AFEDU,F17BTIME,F17CWH1,F17CWH2,F17CWH3,F17CWH4,FDWHCOLU,FDWHSERV,FDWHTRDE,FDWHPRIV,FDWHOTH,F17DFIN1,F17DFIN2,F17DFIN3,F17DFIN4,F17DFIN5,F17DFIN6,FDFNLNS,FDFNSCH,FDFNCOUN,FDFNYOU,FDFNPFF,FDFNOTH,F17ECOST,F17FESTG,F18FINAS,F18EMPSP,F18ADINF,F18EDUTR,F19DNCCO,F19UNION,F19DORG,F19AORG,F19GOVB,F19FAMF,F20ATML,F20BNOW,F21BDETS,F21CUSE1,F22PREPR,F23COMMG,F23ARTDI,F23FLDNC,F23PTSP,F23FAMLY,F23FRNDS,F23OTHRK,F23OTHER,F23BSAT,C261ACWK,C261BEXP,C261CDRL,C261DARL,C261ENNA,C261FUNM,C261GGOV,C262AHI,C262BLW,F261ADRL,F261BOAR,F261CNNA,F261DUNM,F261EGOV,F262AERN,F262BEXP,F262CEOS,F263AHI,F263BLW
118,2,"9c., Invalid due to multiple response.",1,1,D,1,3,Masked,6,D,0,0,0,0,0,1,0,1,D,D,D,1,0,0,0,0,0,0,0,6, 10, 18, 18, 18, 2, 3, 4, 5, 7, D, D, D,0,1,1,1,1,0,1,0,0,0,0,0, 2, D, 70, 15,  D,  D, 15,  D,100,D,D,D,D,D,D,D,D,D,D,D,D,D,  D, 20, 18,  D,0,2,2,0, 30, 6, 1, 9, D, D, D,start a family  RC9,1,0,0,0,0,0,1,0,1,0,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D, , D,0,D, , D,0,D, ,D,0,D,D,D,D,D,D,D,D,D,  D,D,D,D,1,1,  D, D,  D, D,D, D, D, D, D, D, ,D,D,D,D,D,D,D,D,D,D,2,2,3,2,3,1,1, 1, 2, 3, 4, 5, 6, 7, 8, 9, D, ,1,1,1,1,1,1,1,1,1,0, 8,1,3,D,0,0,1,0,0, 25, 4, 25, 4,7,D,D,D,D,D,D,D, ,0,0,0,0,0,0,1,0,0,7, ,1,2,3,7,D,D,D,D,0,1,1,0,0,0,1,0,0,1,5,D,D,D,D,0,0,0,0,1,0,0,2,2,1,2,3,3,2,2,2,1,2, ,D,D,1,1,3,3,1,4,1,1,D, ,D,D,D,D,D,D,D,D,D,  D, D,  D, D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,       D,D,D,D,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D, ,D,       D,D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,D,       D,       D,       D
119,1, ,1,1,D,1,4,Masked,6,D,0,0,0,0,0,1,0,3,D,D,D,0,0,1,0,0,0,0,0,3, 13, 22, 22, 22, 2, 4, 6, 9,10, D, D, D,0,1,0,1,0,1,0,0,1,1,0,0, 7, 5, 25, 25,  D, 50,  D,  D,100,D,D,D,D,D,D,D,D,D,D,D,D,D,  D,  5, 25,  D,0,1,3,0, 65,20, 8, D, D, D, D, ,0,0,0,0,0,0,0,1,0,0,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D, , D,0,D, , D,0,D, ,D,0,D,D,D,D,D,D,D,D,D,  D,D,D,D,1,1,  D, D,  D, D,D, D, D, D, D, D, ,D,D,D,D,D,D,D,D,D,D,5,2,2,4,D,2,1, 1, 2, 3, 4, 5, 6, 7, 8, 9, D, ,1,1,1,1,1,1,1,1,1,0, 9,1,1,D,1,0,0,0,0, 20, 2, 21, 3,1,2,7,9,D,D,D,D, ,1,1,0,0,0,0,1,0,1,7, ,2,2,D,D,D,D,D,D,0,1,0,0,0,0,0,0,0,6,4,D,D,D,D,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,Masked,1,D,2,4,1,1,1,1,1,1,D, ,D,D,D,D,D,D,D,D,D,  D, D,  D, D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,       D,D,D,D,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D, ,D,     200,2,   17000,       D,       D,       D,       D,     500,       D,       D,       D,       D,       D,       D,       D,D,       D,       D,       D
120,1, ,2,D,1,1,4,Masked,6,D,0,0,0,0,0,1,0,7,D,D,D,0,0,0,0,0,0,1,0,5, 12, 22, 22, 22, 2, 5, 7, D, D, D, D, D,0,1,0,0,1,0,1,0,0,0,0,0, 7, 7,  D,  D,  D,  D,  D,  D,  0,2,4,D,D,D,D,0,1,0,1,0,0,0,  D,  D,  D,  D,D,D,D,D,  D, D, D, D, D, D, D, ,D,D,D,D,D,D,D,D,D,D,2,4,D,D,D,D,D,0,1,0,1,0,0,0,2,4,D,D,D,D,0,1,0,1,0,0,0,2,3,4,D,D,0,1,1,1,0,0,0,Masked, 1,40,4,Masked, 1,15,2,Masked,1,15,2,3,0,0,0,0,0,0,3, 70,7,1,0,0,0, 45,12, 25, 4,2,10, D, D, D, D,didn't like  RC10,0,0,0,0,0,0,1,0,0,1,3,1,1,1,1,1,1, 1, 2, 3, 4, 5, 6, 7, 8, D, D, ,1,1,1,1,1,1,1,1,0,0, 3,D,D,D,D,D,D,D,D,  D, D,  D, D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D, ,D,2,D,D,D,D,D,D,D,D,D, ,1,1,D,D,1,0,0,0,0, 20, 2,  D, D,3,5,7,D,D,D,D,D, ,0,0,1,0,1,0,1,0,0,7, ,7,7,D,D,D,D,D,D,0,0,0,0,0,0,1,0,0,2,2,1,D,D,D,1,0,0,0,0,1,D,D,D,D,D,1,0,0,0,0,0,   35000,2,1,1,1,1,3,3,3,3,3,1,1,1, ,D,2,D,D,1,1,1,1,D, ,1,       D,D,       D,       D,       D,       D,       D,       D,       D,   30000,       D,       D,       D,    5000,       D,4,   18000,       D,       D
121,1,"9c., 16a. Invalid due to multiple response.",2,D,1,1,6,Masked,6,D,0,0,0,0,0,1,0,2,4,8,D,0,1,0,1,0,0,0,1,4,  7, 21, 21, 21, 6, 7, 9, D, D, D, D, D,0,0,0,0,0,1,1,0,1,0,0,0, D, D,  D,  D,  D,  D,  D,  D,  0,1,D,D,D,D,D,1,0,0,0,0,0,0,  D,  D,  D,  D,D,D,D,D,  D, D, D, D, D, D, D, ,D,D,D,D,D,D,D,D,D,D,2,D,D,D,D,D,D,0,1,0,0,0,0,0,4,6,D,D,D,D,0,0,0,1,0,1,0,5,7,D,D,D,0,0,0,0,1,0,1,Masked, 4,40,4,Masked, 5,0,0, ,D,0,0,0,0,0,1,1,0,0,2, 40,4,1,0,0,0, 40,10, 40,10,2, 2, 4, 9, D, D,fulltime mom  RC9,0,1,0,1,0,0,1,0,1,0,1,1,1,5,2,6,2, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,ability to take rejection,1,1,1,1,1,1,1,1,1,1, 8,D,D,D,D,D,D,D,D,  D, D,  D, D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D, ,D,1,D,D,D,D,D,D,D,D,D, ,4,D,D,D,0,0,0,0,0,  D, D,  D, D,3,6,7,D,D,D,D,D, ,0,0,1,0,0,1,1,0,0,3, ,D,2,3,5,6,7,D,D,0,1,1,0,1,1,1,0,0,3,1,4,D,D,D,0,0,0,1,0,3,D,D,D,D,D,0,0,1,0,0,0,    1500,2,4,1,1,4,4,1,4,4,1,1,2,1,Masked,1,3,4,4,1,1,1,1,1,CTFD Counselor,1,       D,D,       D,       D,       D,       D,       D,       D,       D,       D,    5000,   25000,    7800,       D,   20000,4,       D,   30000,    1000
122,2,"9b., 9c., Invalid due to multiple response; Q14a changed from 4 to 2 since rest of Q14 was answered",2,D,1,1,6,Masked,6,D,0,0,0,0,0,1,0,3,4,D,D,0,0,1,1,0,0,0,0,6,  5, 20, 22, 23, 2, 5, 6, 9,11, D, D, D,0,1,0,0,1,1,0,0,1,0,1,0, D, D,  D,  D,  D,  D,  D,  D,  0,2,4,D,D,D,D,0,1,0,1,0,0,0,  D,  D,  D,  D,D,D,D,D,  D, D, D, D, D, D, D, ,D,D,D,D,D,D,D,D,D,D,2,6,D,D,D,D,D,0,1,0,0,0,1,0,7,D,D,D,D,D,0,0,0,0,0,0,1,6,D,D,D,D,0,0,0,0,0,1,0,Masked, 3,30,3, , D,0,0, ,D,0,0,0,0,1,0,0,0,0,1, 30,3,1,0,0,0, 32, 7, 27, 5,D, 2, 3, 7, D, D,Tired of insecurity; tired of rejection; too unstable,0,1,1,0,0,0,1,0,0,0,1,2,2,3,1,1,1, 2, 3, 7, 8, 9,10, D, D, D, D,"knowledge of anatomy, training, teaching",0,1,1,0,0,0,1,1,1,1, 8,D,D,D,D,D,D,D,D,  D, D,  D, D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D, ,D,1,D,D,D,D,D,D,D,D,D, ,2,3,4,D,0,0,1,1,0, 25, 4, 26, 5,1,3,6,7,8,D,D,D, ,1,0,1,0,0,1,1,1,0,7, ,8,2,3,6,8,D,D,D,0,1,1,0,0,1,0,1,0,3,4,1,D,D,D,1,0,0,0,0,1,4,D,D,D,D,1,0,0,1,0,0,   20000,2,1,2,2,2,D,D,D,D,1,1,1,1,Masked,2,2,4,4,3,1,1,1,D, ,1,       D,D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,D,       D,       D,       D
123,1,"25b., Invalid due to multiple response.",2,D,1,1,4,Masked,6,D,0,0,0,0,0,1,0,1,D,D,D,1,0,0,0,0,0,0,0,1,  3, 16, 16, 16, D, D, D, D, D, D, D, D,0,0,0,0,0,0,0,0,0,0,0,0, D, 3,  D,  D,  D,  D,  D,  D,  0,1,2,4,7,D,D,1,1,0,1,0,0,1,  D,  D,  D,  D,D,D,D,D,  D, D, D, D, D, D, D, ,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,0,0,0,0,0,0,0,5,6,D,D,D,D,0,0,0,0,1,1,0,D,D,D,D,D,0,0,0,0,0,0,0,Masked, 5,24,3, , D,0,0, ,D,0,0,0,0,0,0,1,0,0,1, 24,3,1,0,0,0, 33, 7, 33, 7,1, 1, 3, 9, D, D,wanted a baby  RC9,1,0,1,0,0,0,1,0,1,0,3,4,1,1,1,1,2, 2, 4, D, D, D, D, D, D, D, D, ,0,1,0,1,0,0,0,0,0,0, D,D,D,D,D,D,D,D,D,  D, D,  D, D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D, ,D,2,D,D,D,D,D,D,D,D,D, ,1,1,D,D,1,0,0,0,0,  D, D,  D, D,1,D,D,D,D,D,D,D, ,1,0,0,0,0,0,0,0,0,D, ,6,D,D,D,D,D,D,D,0,0,0,0,0,0,0,0,0,5,D,D,D,D,D,0,0,0,0,0,D,D,D,D,D,D,0,0,0,0,0,0,       D,D,1,1,1,1,1,2,1,2,1,1,2,D, ,D,2,1,1,1,1,2,1,D, ,2,       D,D,       D,       D,       D,       D,       D,       D,       D,       0,       0,       0,       0,       0,   40000,3,       0,   40000,   20000
124,2,"17a., Invalid due to multiple response.",2,D,1,2,5,Masked,6,D,0,0,0,0,0,1,0,4,D,D,D,0,0,0,1,0,0,0,0,4, 18, 20, 22, 22, 2, 3, 4, 5, 6, 7, 9, D,0,1,1,1,1,1,1,0,1,0,0,0, 9, 2,  D,  D,  D,  D,  D,  D,  0,2,5,6,7,D,D,0,1,0,0,1,1,1,  D,  D,  D,  D,D,D,D,D,  D, D, D, D, D, D, D, ,D,D,D,D,D,D,D,D,D,D,1,D,D,D,D,D,D,1,0,0,0,0,0,0,D,D,D,D,D,D,0,0,0,0,0,0,0,1,3,D,D,D,1,0,1,0,0,0,0,Masked, 1,28,3,Masked, 2,15,2,Masked,2,10,1,1,2,0,0,0,0,0,3, 53,6,1,0,0,0, 40,10,  D, D,2, 4, 1, D, D, D,age  RC1,0,0,0,1,0,0,1,0,0,0,1,1,3,4,2,2,2, 1, 2, 3, 4, 5, 6, 7, 8, 9, D, ,1,1,1,1,1,1,1,1,1,0, 3,D,D,D,D,D,D,D,D,  D, D,  D, D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D, ,D,1,D,D,D,D,D,D,D,D,D, ,1,2,5,D,0,1,0,0,1, 36, 9, 36, 9,2,3,5,6,7,D,D,D, ,0,1,1,0,1,1,1,0,0,6, ,4,7,D,D,D,D,D,D,0,0,0,0,0,0,1,0,0,D,D,D,D,D,D,0,0,0,0,0,D,D,D,D,D,D,0,0,0,0,0,0,       D,D,4,1,1,2,4,2,1,2,4,1,2,1, ,1,3,4,4,1,1,1,1,D, ,2,       D,D,       D,       D,       D,       D,       D,       D,       D,   55000,       D,       0,       0,       0,   65000,4,       0,   65000,   20000
125,2,entered 10 as respondent did; portions of 23 Invalid due to multiple response.,1,1,D,2,6,Masked,6,D,0,0,0,0,0,1,0,3,4,6,7,0,0,1,1,0,1,1,0,5, 14, 16, 19, 20, 1, 2, 5, 6, 7, 9, D, D,1,1,0,0,1,1,1,0,1,0,0,0, 7, 5, 60, 50, 40,  D, 20,  D,170,D,D,D,D,D,D,D,D,D,D,D,D,D,  0, 11,  D, 25,D,2,0,3,  D, D, 1, 2, 3, 4, 5, ,1,1,1,1,1,0,0,0,0,0,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D, , D,0,D, , D,0,D, ,D,0,D,D,D,D,D,D,D,D,D,  D,D,D,D,1,1,  D, D,  D, D,D, D, D, D, D, D, ,D,D,D,D,D,D,D,D,D,D,1,1,1,1,2,3,2, 1, 3, 5, 6, 7, 8, 9, D, D, D, ,1,0,1,0,1,1,1,1,1,0, 1,1,2,D,0,1,0,0,0, 43,11, 44,11,1,2,3,4,5,6,7,D, ,1,1,1,1,1,1,1,0,0,6, ,5,1,3,4,5,6,7,D,1,0,1,1,1,1,1,0,0,2,1,2,D,D,D,1,1,0,0,0,0,0,1,D,2,D,D,D,1,2,D,D,1,Masked,1,D,2,1,D,D,1,D,D,D,D, ,D,D,D,D,D,D,D,D,D,  D, D,  D, D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,       D,D,D,D,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D, ,D,       D,D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,D,       D,       D,       D
126,2,"9b., 9c., 16a., Invalid due to multiple response.; changed Q14(a) to ""2""",2,D,1,1,8,Masked,6,D,0,0,0,0,0,1,0,7,D,D,D,0,0,0,0,0,0,1,0,5, 11, 16, 19, 19, D, D, D, D, D, D, D, D,0,0,0,0,0,0,0,0,0,0,0,0, D, D,  D,  D,  D,  D,  D,  D,  0,2,3,D,D,D,D,0,1,1,0,0,0,0,  D,  D,  D,  D,D,D,D,D,  D, D, D, D, D, D, D, ,D,D,D,D,D,D,D,D,D,D,1,D,D,D,D,D,D,1,0,0,0,0,0,0,3,D,D,D,D,D,0,0,1,0,0,0,0,3,D,D,D,D,0,0,1,0,0,0,0,Masked, 3,30,3, , D,0,0, ,D,0,0,0,0,1,0,0,0,0,1, 30,3,1,0,0,0, 40,10, 43,11,5, 9, D, D, D, D,pregnancy  RC9,0,0,0,0,0,0,1,0,1,0,1,1,1,4,3,1,1, 1, 2, 4, 5, 6, 7, 8, 9,10, D,creativity,1,1,0,1,1,1,1,1,1,1, D,D,D,D,D,D,D,D,D,  D, D,  D, D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D, ,D,2,D,D,D,D,D,D,D,D,D, ,2,5,D,D,0,0,0,0,1, 41,11, 41,11,6,D,D,D,D,D,D,D, ,0,0,0,0,0,1,0,0,0,6, ,D,8,D,D,D,D,D,D,0,0,0,0,0,0,0,1,0,1,5,4,D,D,D,0,0,0,1,0,4,D,D,D,D,D,0,0,0,1,0,0,       D,2,4,1,1,4,1,4,4,4,4,1,3,3, ,D,1,1,1,1,1,1,1,D, ,2,       D,D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,D,       D,       D,       D
127,2, ,2,D,1,2,6,Masked,6,D,0,0,0,0,0,1,0,8,D,D,D,0,0,0,0,0,0,0,1,6, 16, 18, 22,  D, 2, 5, 6, 7, 9,12, D, D,0,1,0,0,1,1,1,0,1,0,0,1, 9, 2,  D,  D,  D,  D,  D,  D,  0,2,4,6,D,D,D,0,1,0,1,0,1,0,  D,  D,  D,  D,D,D,D,D,  D, D, D, D, D, D, D, ,D,D,D,D,D,D,D,D,D,D,2,4,D,D,D,D,D,0,1,0,1,0,0,0,D,D,D,D,D,D,0,0,0,0,0,0,0,D,D,D,D,D,0,0,0,0,0,0,0,Masked, 6,0,0, , D,0,0, ,D,0,0,0,0,0,0,0,1,0,1,  0,0,0,0,1,1,  D, D, 36, 9,6, 3, D, D, D, D,AIDS   RC3,0,0,0,0,0,0,1,0,0,0,2,1,2,4,1,6,2, 1, 2, 3, 4, 6, 7, 8, 9,10, D,creativity (depends on the kind of dancer and kind of career they had),1,1,1,1,0,1,1,1,1,1, 3,D,D,D,D,D,D,D,D,  D, D,  D, D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D, ,D,1,D,D,D,D,D,D,D,D,D, ,D,D,D,D,0,0,0,0,0,  D, D,  D, D,1,2,5,8,D,D,D,D,inconsistent income,1,1,0,0,1,0,0,1,0,D, ,1,1,2,3,4,8,D,D,1,1,1,1,0,0,0,1,0,D,D,D,D,D,D,0,0,0,0,0,D,D,D,D,D,D,0,0,0,0,0,0,       D,D,1,1,1,D,4,1,2,4,1,1,2,2,Masked,1,5,4,4,1,4,3,1,D, ,D,       D,D,       D,       D,       D,       D,       D,       D,       D,       0,       0,       0,       0,       0,   12000,4,    8000,   23000,   16000
128,2,"15b., 25b., Invalid due to multiple response; changed Q14(a) to ""2""; changed 17a from 6 to 3; change",2,D,1,2,4,Masked,6,D,0,0,0,0,0,1,0,1,D,D,D,1,0,0,0,0,0,0,0,5, 17, 20, 21, 20, 2, 3, 5, 7, D, D, D, D,0,1,1,0,1,0,1,0,0,0,0,0, 6, D,  D,  D,  D,  D,  D,  D,  0,1,D,D,D,D,D,1,0,0,0,0,0,0,  D,  D,  D,  D,D,D,D,D,  D, D, D, D, D, D, D, ,D,D,D,D,D,D,D,D,D,D,2,D,D,D,D,D,D,0,1,0,0,0,0,0,D,D,D,D,D,D,0,0,0,0,0,0,0,4,5,D,D,D,0,0,0,1,1,0,0,Masked, 3,60,6, , D,0,0, ,D,0,0,0,0,1,0,0,0,0,1, 60,6,1,0,0,0, 35, 8, 32, 7,1, 1, 3, D, D, D, ,1,0,1,0,0,0,0,0,0,0,2,2,3,3,1,2,2, D, D, D, D, D, D, D, D, D, D, ,0,0,0,0,0,0,0,0,0,0, D,D,D,D,D,D,D,D,D,  D, D,  D, D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D, ,D,2,D,D,D,D,D,D,D,D,D, ,2,3,D,D,0,0,1,0,0, 31, 7, 31, 7,7,D,D,D,D,D,D,D, ,0,0,0,0,0,0,1,0,0,D, ,5,4,D,D,D,D,D,D,0,0,0,1,0,0,0,0,0,3,5,1,D,D,D,1,0,0,0,0,1,2,4,D,D,D,1,1,0,1,0,0,   10000,1,1,2,2,1,D,D,D,D,D,1,1,1, ,D,1,1,D,2,2,2,2,2, ,1,       D,D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,D,       D,       D,       D
